907,Jamaica-2
908,Andromeda
909,Hornet
910,South Sudan
911,Sweden-4
912,Chance
913,Brat
914,Yeoman V
915,Knigsberg
916,Don Schufro
917,Vinga-1
918,Aloha II
919,Raili
920,Syndi
921,Vento Sul
922,Sans Atout-1
923,Miss Nippon IV
924,New Zealand-1
925,Tramontane
926,Sandra
927,"Milwaukee Turnverein, Milwaukee"
928,Nurdug II
929,Eleda
930,Lbeck
931,Yeoman
932,Boer Team
933,Beatrijs III-1
934,Lancet
935,West Germany-3
936,Lesotho
937,Ravenswood Boat Club-2
938,Whisper
939,Irene
940,Balaton
941,Kuling
942,Sif
943,Djinn
944,Mascotte
945,Bona Fide
946,Laurea-1
947,Skidoo
948,Tomahawk II
949,Whirlaway
950,Sorais-2
951,Minotaur
952,United States-5
953,Surprise
954,Zut
955,Tan-Fe-Pah
956,Ciss
957,Australia-3
958,Bohemia-3
959,Boreas
960,MitaII
961,Escapade
962,Slovakia-1
963,Ralia
964,Clearwater
965,Angerburg
966,Singapore-2
967,United States-8
968,Barco Deloro
969,Dick-8
970,Yugoslavia-2
971,Kalayaan
972,Bohemia-2
973,Olimpia
974,Macky VI
975,Nrnberg
976,Nephos I
977,Tengiri
978,Hayama
979,Rush VII
980,Rush V
981,Ethnikos Gymnastikos Syllogos
982,John B
983,Bim
984,Bonaparte
985,North Korea-2
986,Mythilus
987,Rambo
988,Floresco
989,Hong Kong-2
990,Luxembourg-2
991,Lucky
992,Spirit VI
993,Lully II
994,Sildra-1
995,Noreg
996,Subbnboana
997,"Phalainis ton Thorichtou ""Psara""-3"
998,Slovenia-1
999,Rostock
1000,Norman-1
1001,Olympion
1002,Sunshine
1003,Heidelberg
1004,Amulet-7
1005,Amulet-3
1006,Omas Helliniki P. S.
1007,Crocodile-13
1008,Crocodile-11
1009,Leipzig
1010,Red Indian
1011,Alcyon-6
1012,Alcyon-7
1013,Suzon IV-39
1014,Suzon IV-5
1015,Mascaret-28
1016,Mascaret-4
1017,Poland-3
1018,Sibindi-2
1019,Pupilles de Neptune de Lille-1
1020,Combine
1021,Stade Franais AC-2
1022,Kathleen
1023,Club Nautique de Lyon-2
1024,Holland
1025,Starita
1026,United States-12
1027,Argo II
1028,State VI
1029,Frimousse
1030,Denmark-4
1031,Portugal-2
1032,France/Great Britain
1033,Gyp-23
1034,Gyp-6
1035,Zefyros
1036,Pirouette-31
1037,Pirouette-5
1038,Societ Nautique de la Marne-1
1039,Mebi
1040,Slovenia-2
1041,Riccar
1042,Japan-3
1043,Lynn
1044,Neptun II
1045,Potomac Archers
1046,Ireland-1
1047,Brentina
1048,Nan-2
1049,Hannover
1050,Scamasaxe-34
1051,Scamasaxe-2
1052,Scamasaxe-3
1053,Three Star Too
1054,Bellatrix IX
1055,Bellatrix XIII
1056,Jeanette-25
1057,Jeannette-18
1058,Turquoise-1
1059,Turquoise-3
1060,Roehampton-1
1061,Glisten
1062,Nadine
1063,Grifone
1064,Twinkle
1065,Myojo
1066,Ducky-16
1067,Ducky-4
1068,Rose Pompon
1069,Souriceau-38
1070,Souriceau-4
1071,United States-11
1072,Lady C
1073,Frieda
1074,Marsouin-26
1075,Marsouin-8
1076,Persey
1077,Hi-Hi
1078,Atalanta Boat Club-1
1079,Atalanta Boat Club-2
1080,Wendehals
1081,New York Athletic Club
