event_id,event_name
615,"Sailing Mixed 20+ Ton"
616,"Cycling Women's Team Sprint"
617,"Shooting Men's Military Revolver
618,"Shooting Men's Dueling Pistol Au Vise 20 metres"
619,"Shooting Men's Dueling Pistol Au Commandement
620,"Sailing Mixed 6.5 metres"
621,"Athletics Men's 200 metres Hurdles"
622,"Athletics Men's 56-pound Weight Throw"
623,"Equestrianism Mixed Four-In-Hand Competition"
624,"Art Competitions"
625,"Athletics Men's 2
626,"Volleyball"
627,"Athletics Men's All-Around Championship"
628,"Archery Men's Pole Archery
629,"Cycling"
630,"Archery Women's Double Columbia Round"
631,"Athletics Men's 4 mile
632,"Synchronized Swimming"
633,"Figure Skating Men's Special Figures"
634,"Moskva"
635,"Swimming Men's 50 yard Freestyle"
636,"Swimming Men's 100 yard Freestyle"
637,"Swimming Men's 440 yard Freestyle"
638,"Montreal"
639,"Basque Pelota Men's Two-Man Teams With Cesta"
640,"Equestrianism Mixed Long Jump"
641,"Munich"
642,"Los Angeles"
643,"Archery Men's Au Cordon Dore
644,"Canoeing Men's Folding Kayak Singles
645,"Rugby"
646,"Swimming Men's 100 metres Freestyle For Sailors"
647,"Sailing Mixed 3-10 Ton"
648,"Wrestling Men's Unlimited Class
649,"Seoul"
650,"Motorboating Mixed B-Class (Under 60 Feet)"
651,"Motorboating Mixed C-Class"
652,"Cycling Men's 10
653,"Archery Men's Sur La Perche a La Herse"
654,"Shooting Men's Muzzle-Loading Pistol
655,"Equestrianism Mixed High Jump"
656,"Taekwondo"
657,"Melbourne"
658,"Paris"
659,"Archery Men's Sur La Perche a La Pyramide"
660,"Motorboating"
661,"Jeu De Paume"
662,"Fencing Men's Single Sticks
663,"Gymnastics Men's Tumbling"
664,"Shooting Men's Unknown Event"
665,"Albertville"
666,"Lillehammer"
667,"Sailing Mixed 18 foot"
668,"Archery Men's Unknown Event"
669,"Beach Volleyball"
670,"Archery Men's Au Chapelet
671,"Chamonix"
672,"Sankt Moritz"
673,"Lake Placid"
674,"Garmisch-Partenkirchen"
675,"Summer"
676,"Archery Women's Team Round"
677,"Wrestling Men's All-Around
678,"Sydney"
679,"Athina"
