team_id,team_name
875,"Ylliam II"
876,"East Germany-3"
877,"Paka V"
878,"Brigantia"
879,"Sydney Rowing Club"
880,"Espardate"
881,"Australia/Great Britain"
882,"Kannibaltje"
883,"Milwaukee Athletic Club-1"
884,"Xantippa"
885,"Skum"
886,"Miss Denmark 1964"
887,"Kemphaan"
888,"Helsingfors R. K."
889,"Newfoundland"
890,"Emily"
891,"Fram III"
892,"Mizar"
893,"Ubu"
894,"St. Louis Southwest Turnverein #2-3"
895,"Socialer Turnverein
896,"Bohemia-1"
897,"Essen"
898,"Miss Nippon V"
899,"Argeste"
900,"Gullvinge"
901,"United States-4"
902,"South Korea-1"
903,"Bajazzo"
904,"Mystery"
905,"Cinara-13"
906,"Ilderim"
907,"Tantalus"
908,"Peiraikos Syndesmos-2"
909,"Baby-9"
910,"Baby-1"
911,"Femur-18"
912,"Femur-1"
913,"Kosovo"
914,"Colette-10"
915,"Colette-12"
916,"Germany/United States"
917,"Freddy"
918,"Rika II"
919,"Korshun"
920,"Hungary-2"
921,"Patricia"
922,"Tlaloc"
923,"Springbok"
924,"Aretusa"
925,"Quicksilver-2"
926,"Viktoriya"
927,"Germania Ruder Club
928,"Omilos Ereton Smyrnis"
929,"Belarus-2"
930,"Alcaid"
931,"Finland-1"
932,"Finland-2"
933,"Alain IV"
934,137
935,"Jupiter"
936,"Three Leaves"
937,"Philadelphia Turngemeinde
938,"K.S.S.S. 1912-2"
939,"Unified Team-3"
940,"Paka"
941,"Sheerio"
942,"Pan II"
943,"Pasodoble"
944,"Freja"
945,54
946,"India-2"
947,"Sass-2"
948,"Roy"
949,"Ukraine-1"
950,"Deutscher Schwimm Verband Berlin"
951,"Jet"
952,"Belgium-3"
953,"Shrew II"
954,"Sylvia"
955,"Salamander"
956,"Denmark-3"
957,"Ingegerd"
958,"Slovakia-2"
959,"Johan"
960,155
961,"Apache"
962,"Jamaica-2"
963,"Andromeda"
964,"Viking"
965,"Hornet"
966,"South Sudan"
967,"Sweden-4"
968,"Chance"
969,"Brat"
970,"Yeoman V"
971,"Knigsberg"
972,"Don Schufro"
973,"Vinga-1"
974,"Aloha II"
975,"Raili"
976,"Syndi"
977,"Vento Sul"
978,"Sans Atout-1"
979,"Miss Nippon IV"
980,"New Zealand-1"
981,"Tramontane"
982,"Sandra"
983,"Milwaukee Turnverein
984,"Nurdug II"
985,"Eleda"
986,"Lbeck"
987,"Yeoman"
988,"Boer Team"
989,"Beatrijs III-1"
990,"Lancet"
991,"West Germany-3"
992,"Lesotho"
993,"Ravenswood Boat Club-2"
994,"Whisper"
995,"Irene"
996,"Balaton"
997,14
998,18
999,"Kuling"
1000,"Sif"
1001,"Djinn"
1002,"Mascotte"
1003,"Bona Fide"
1004,"Laurea-1"
1005,"Tomahawk II"
1006,"Whirlaway"
1007,"Sorais-2"
1008,"Minotaur"
1009,149
1010,"United States-5"
1011,"Surprise"
1012,"Zut"
1013,"Tan-Fe-Pah"
1014,"Ciss"
1015,"Australia-3"
1016,"Bohemia-3"
1017,"Boreas"
1018,"MitaII"
1019,"Escapade"
1020,107
1021,"Slovakia-1"
1022,"Ralia"
1023,"Clearwater"
1024,"Rhythm"
1025,"Singapore-2"
1026,"United States-8"
1027,"Barco Deloro"
1028,120
1029,"Dick-8"
1030,"Yugoslavia-2"
1031,"Kalayaan"
1032,"Bohemia-2"
1033,"Olimpia"
1034,"Macky VI"
1035,"Nrnberg"
1036,"Nephos I"
1037,"Tengiri"
1038,"Hayama"
1039,"Rush VII"
1040,"Rush V"
1041,"Ethnikos Gymnastikos Syllogos"
1042,"St. Margrite"
1043,"John B"
1044,"Bim"
1045,"Bonaparte"
1046,92
1047,"North Korea-2"
1048,"Mythilus"
1049,"Rambo"
1050,"Floresco"
1051,"Hong Kong-2"
1052,"Luxembourg-2"
1053,"Lucky"
1054,"Lully II"
1055,"Sildra-1"
1056,"Noreg"
1057,"Subbnboana"
1058,39
1059,"Phalainis ton Thorichtou ""Psara""-3"
1060,"Slovenia-1"
1061,"Rostock"
1062,"Norman-1"
1063,165
1064,"Olympion"
1065,"Sunshine"
1066,"Heidelberg"
1067,"Amulet-7"
1068,"Amulet-3"
1069,"Omas Helliniki P. S."
1070,"Crocodile-13"
1071,"Crocodile-11"
1072,"Leipzig"
1073,"Red Indian"
1074,"Alcyon-6"
1075,"Alcyon-7"
1076,"Suzon IV-39"
1077,"Suzon IV-5"
1078,"Mascaret-28"
1079,"Mascaret-4"
1080,"Poland-3"
1081,"Sibindi-2"
1082,"Pupilles de Neptune de Lille-1"
1083,"Combine"
1084,118
1085,"Stade Franais AC-2"
1086,"Kathleen"
1087,"Club Nautique de Lyon-2"
1088,"Holland"
1089,"Bem II"
1090,"Starita"
1091,"United States-12"
1092,"Argo II"
1093,"State VI"
1094,"Frimousse"
1095,41
1096,"Denmark-4"
1097,"Portugal-2"
1098,"France/Great Britain"
1099,"Gyp-23"
1100,"Gyp-6"
1101,"Zefyros"
1102,172
1103,"Pirouette-31"
1104,"Pirouette-5"
1105,"Societ Nautique de la Marne-1"
1106,"Mebi"
1107,"Slovenia-2"
1108,"Riccar"
1109,"Japan-3"
1110,"Lynn"
1111,"Neptun II"
1112,"Potomac Archers"
1113,46
1114,45
1115,"Ireland-1"
1116,"Brentina"
1117,"United States-7"
1118,97
1119,"Nan-2"
1120,"Hannover"
1121,"Scamasaxe-34"
1122,"Scamasaxe-2"
1123,"Scamasaxe-3"
1124,"Three Star Too"
1125,"Bellatrix IX"
1126,"Bellatrix XIII"
1127,"Jeanette-25"
1128,"Jeannette-18"
1129,"Turquoise-1"
1130,"Turquoise-3"
1131,"Roehampton-1"
1132,"Glisten"
1133,"Nadine"
1134,"Grifone"
1135,111
1136,"Twinkle"
1137,"Myojo"
1138,"Ducky-16"
1139,"Ducky-4"
1140,"Rose Pompon"
1141,"Souriceau-38"
1142,"Souriceau-4"
1143,"United States-11"
1144,"Lady C"
1145,47
1146,"Marsouin-26"
1147,"Marsouin-8"
1148,"Persey"
1149,"Hi-Hi"
1150,"Atalanta Boat Club-1"
1151,"Atalanta Boat Club-2"
1152,"Wendehals"
1153,"New York Athletic Club"
1154,"Titia"
1155,"Pimm"
1156,"Gustel X"
1157,"Gustl XI"
1158,"Thailand-1"
1159,"Pop Art"
1160,"Barrenjoey"
1161,"South Africa-1"
1162,"Voloira II"
1163,"Uzbekistan-2"
1164,"Bremen"
1165,"Quando Quando"
1166,"Donar III"
1167,125
1168,"Hojwa"
1169,"Frieda"
1170,"Danuta"
1171,"Maryke"
1172,"Falcon VI"
1173,"Thailand-2"
1174,"Manana"
1175,60.5
1176,"Pandora"
1177,"Rampage"
1178,123
1179,"Diabolo St Maurice"
1180,"Ravel"
1181,"Humbug V"
